Title,Location,No of Bedrooms,No of Bathrooms,Description,Price
4 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",0,0,Spacious 4 Bedroom House in Kitisuru,500000.0
3 Bed Townhouse with En Suite at Five Star Paradise,"Five Star Paradise, Runda, Westlands",0,0,"3br Townhouse, Five Star Paradise",250000.0
2 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxurious 2 bedroom house for rent in Runda,150000.0
3 Bed House with En Suite in Donholm,Donholm,0,0,Sunrise Estate Bungalow,55000.0
3 Bed Townhouse with En Suite in Ngong Road,Ngong Road,0,0,Executive Townhouse,120000.0
2 Bed House with En Suite at Nyari,"Nyari, Westlands",0,0,2brd master ensute cottage nyari estate,100000.0
4 Bed Townhouse with En Suite in Kilimani,Kilimani,0,0,4 Bedroom Townhouse To Let In Kilimani,180000.0
3 Bed Townhouse with En Suite at Riverside Drive,"Riverside Drive, Riverside, Westlands",0,0,Prestigious Three bedroom Townhouse,300000.0
5 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",0,0,A Spacious  5 Bedroom Townhouse To Let in Brook...,200000.0
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,4-bedroom townhouse available for rent in Kitis...,350000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Stunning four-bedroom fully furnished cottage l...,500000.0
5 Bed House with En Suite in Karen,Karen,0,0,Contemporary 5-bedroom townhouse is located in...,500000.0
2 Bed House with En Suite in Karen,Karen,0,0,Charming 2-Bedroom Cottage for Rent in Karen –...,100000.0
4 Bed House with En Suite in Karen,Karen,0,0,Elegant 4-Bedroom Home for Rent in Karen – Ksh...,250000.0
4 Bed Townhouse with En Suite in Lavington,"Lavington Nairobi, Lavington",0,0,A 4bdrm townhouse to let in lavington.,350000.0
5 Bed Townhouse with En Suite in Membley,"Membley, Ruiru",0,0,A 5 bedroom  house to let in. Membly,80000.0
5 Bed Townhouse with En Suite in Kilimani,Kilimani,0,0,5 bedroom to let in  killimani,300000.0
3 Bed Townhouse with En Suite at Runda,"Runda, Westlands",0,0,Modern 3-Bedroom Townhouse in  Runda ( COMES UN...,580000.0
3 Bed House with En Suite at Karen,"Karen, Karen",0,0,Lovely three bedroom house,180000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Rustic Five-Bedroom House for Rent in Runda,450000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Exquisite 5-Bedroom House for Rent in Runda,450000.0
3 Bed Townhouse with En Suite at Githingiri Blue Post Thika Town,"Githingiri Blue Post Thika Town, Thika",0,0,3 Bedroom to let Githingiri Thika Town,75000.0
5 Bed House with En Suite at Bomas Cl,"Bomas Cl, Karen",0,0,Furnished Highly Luxurious 5-Bedroom Villa in K...,720000.0
4 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",0,0,4 Bedroom Townhouse+ Dsq for rent in Rosslyn,590000.0
4 Bed Townhouse with En Suite at Brookside,"0326N, Brookside, Westlands",0,0,4-bedroom apartement,270000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,5 Bedroom home in Runda,500000.0
3 Bed House with En Suite at Mombasa Road,"0326N, Mombasa Road, Mombasa Road",0,0,3-bedroom apartment in mombasa road,35000.0
4 Bed Townhouse with En Suite at Kileleshwa,"0326N, Kileleshwa, Kilimani",0,0,4-bedroom apartment in kileleshwa,380000.0
4 Bed Townhouse with En Suite at Convent Drive,"89, Convent Drive, Lavington",0,0,Lavington,250000.0
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Cozy Retreat Four-Bedroom House in Kitisuru,750000.0
5 Bed House with En Suite at Mountain View Estate,"0326N, Mountain View Estate, Mountain View, Westlands",0,0,5-bedroom apartment in mountain view,140000.0
4 Bed House with Swimming Pool at Miotoni Road,"23, Miotoni Road, Karen",0,0,Karen miotoni,350000.0
3 Bed House with En Suite at Old Muthaiga,"0326N, Old Muthaiga, Muthaiga",0,0,3-bedroom house in old muthaiga,350000.0
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,0,0,Exclusive 4 Bedroom Townhouse All En-suite Plus...,280000.0
4 Bed Villa with En Suite at Kitisuru,"Kitisuru, Kitisuru, Westlands",0,0,Luxury Family Living! Kitisuru Four Bedroom Tow...,320000.0
5 Bed House with En Suite at New Kitisuru,"New Kitisuru, Kitisuru, Westlands",0,0,Welcoming! Luxury Kitisuru Five Bedroom Family...,450000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Elegant 5-Bedroom House for Rent in Kitisuru,400000.0
4 Bed Villa with En Suite at Mombasa Road,"Mombasa Road, Athi River",0,0,4 Bedroom Villa all Ensuite Plus Dsq on a 1/4 s...,150000.0
3 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,Luxurious 3-Bedroom House with Gym & Heated Poo...,330000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant 5-Bedroom House for Rent in Runda,450000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",0,0,"4br House, Runda",230000.0
5 Bed House with En Suite at Runda,"Runda, Westlands",0,0,"5br House, Runda",500000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",0,0,"4br House, Runda",550000.0
4 Bed Townhouse with En Suite at Karen,Karen,0,0,"4br Townhouse, Karen",450000.0
5 Bed Townhouse with En Suite at Kibagare,"Kibagare, Loresho, Westlands",0,0,"5br Townhouse, Loresho",585000.0
5 Bed House with Staff Quarters at Runda,"Runda, Westlands",0,0,"5br House, Runda",250000.0
6 Bed House with En Suite at Runda,"Runda, Westlands",0,0,"6br House, Runda",400000.0
4 Bed Villa with En Suite at Tigoni,"Ndederu, Tigoni, Redhill",0,0,4Bedrooms villa plus sq For Rent at Redhill roa...,160000.0
4 Bed House with En Suite in Loresho,"Loresho, Westlands",0,0,4BEDROOM BUNGALOW FOR RENT IN LORESHO,250000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,AN EXECUTIVE 5BEDROOM TOWN HOUSE FOR RENT IN LA...,260000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,AN EXECUTIVE 5BEDROOM TOWN HOUSE FOR RENT IN LA...,450000.0
4 Bed Townhouse with Staff Quarters in Valley Arcade,"Lavington Nairobi, Valley Arcade",0,0,A 4bdrm townhouse to let in lavington.,180000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,0,0,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN LA...,350000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Excellently done 5 Bedrooms House,500000.0
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN KI...,320000.0
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN KI...,380000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",0,0,PRESTIGIOUS 4 BEDROOM PLUS DSQ VILLA FOR RENT,420000.0
4 Bed House with En Suite at Lavington,Lavington,0,0,4 Bedroom house to let in Lavington,160000.0
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,4 beautifully done 4 Maisonettee,150000.0
4 Bed Townhouse with En Suite at Lavington,Lavington,0,0,4 Bedroom townhouse to let in Lavington.,160000.0
4 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",0,0,Elegantly done 4 Bedrooms Bungalow House,400000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,AN AMAZING MODERN TOWNHOUSE IN A GATED COMMUNIT...,180000.0
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,0,0,5 Bedroom townhouse to let kileleshwa-Othaya Ro...,350000.0
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",0,0,Exquisite Five Bedroom Mansion for Rent in Lowe...,1500000.0
4 Bed House with En Suite at Karen,"Karen, Karen",0,0,Spacious four bedroom house,260000.0
5 Bed Villa with En Suite at Lavington,"Lavington, Lavington",0,0,Mordern five bedroom townhouse,250000.0
4 Bed Townhouse with En Suite at Runda,"Runda, Westlands",0,0,Luxurious 4-Bedroom Ensuite House for Rent in R...,645000.0
4 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,4 bedroom house to rent in Nyari,400000.0
4 Bed House with En Suite at Kitisuru,"Kitisuru, Kitisuru, Westlands",0,0,Brand New Kitisuru 4 bedroom House plus 1 bedro...,415000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,4 bedroom house to rent in Runda,500000.0
5 Bed House with En Suite in Lavington,Lavington,0,0,5 bedrooms all Ensuite for rent in lavington.,450000.0
2 Bed House with En Suite at Westland,"Westland, Runda, Westlands",0,0,2-Bedroom Fully Furnished House for Rent – Rund...,100000.0
3 Bed House with En Suite at Bondeni Road,"Bondeni Road, Nyali Area, Nyali",0,0,Three Bedroom All Ensuite Maisonetter For Rent...,110000.0
5 Bed House with En Suite at Un,"Un, Gigiri, Westlands",0,0,Exquisite 5-Bedroom Home for Rent in Prestigiou...,400000.0
5 Bed Townhouse with En Suite at Kyuna,"Kyuna, Westlands",0,0,🏡 UN-Approved Security | Exclusive 5-Bedroom V...,600000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",0,0,Charming Four-Bedroom Townhouse for Rent in Run...,350000.0
5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Excellently done 5 Bedrooms Villa,4250.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,elegantly done 4 bedrooms House,450000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Executive 4 Bedrooms House,5000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegantly 4 Bedrooms Guest Wing,270000.0
1 Bed House with Backup Generator in Runda,"Runda, Westlands",0,0,1 bedrooms furnished in Runda,130000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant 4-Bedroom House for Rent in Runda,390000.0
5 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,5-Bedroom Townhouse for Rent in Spring Valley,370000.0
5 Bed House with En Suite at Loresho,"01, Loresho, Loresho, Westlands",0,0,Experience Unmatched Luxury: Newly Built 6-Bedr...,550000.0
5 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,5 Bedrooms standalone house to let,600000.0
5 Bed Townhouse with En Suite at Miotoni,"Miotoni, Karen",0,0,5 bedrooms+dsq to let in miotoni price 350k,350000.0
5 Bed Villa with En Suite at Karen,Karen,0,0,5 bedroom villa to let in Karen price $5000,650000.0
5 Bed Villa with En Suite at Ndege Road,"Ndege Road, Karen",0,0,Stunning 5-Bedroom House for Rent in Karen,650000.0
5 Bed Villa with En Suite at Karen Plains,"Karen Plains, Karen",0,0,5 bedroom l+dsq in a gated community to let,430000.0
4 Bed Townhouse with En Suite at Lavington Green,"51, Lavington Green, Lavington",0,0,Lavington green 4 bedrooms for rent,240000.0
4 Bed Townhouse with En Suite at Lavington Road,"44, Lavington Road, Lavington",0,0,Lavington 4 bedrooms for rent,175000.0
4 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",0,0,Charming & Exquisite Four-Bedroom House for Ren...,450000.0
4 Bed Townhouse with En Suite at Ineza,"Ineza, Runda, Westlands",0,0,"4br Townhouse, Runda, Ineza",265000.0
4 Bed Townhouse with En Suite at Runda,"Runda, Westlands",0,0,"4br Townhouse, Runda",425000.0
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,Stunning Four-Bedroom House in Spring Valley,450000.0
4 Bed Townhouse with En Suite at Runda,"Runda, Westlands",0,0,"4br Townhouse, Runda",350000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,5 bedroom townhomes for rent,330000.0
4 Bed Townhouse with En Suite at Lavington,Lavington,0,0,Gorgeous 4 bedrooms townhouse plus family rm an...,175000.0
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,0,0,Exquisite Unfurnished 4-Bedroom Townhouse for R...,230000.0
4 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",0,0,Commercial Property To LET,300000.0
4 Bed House with En Suite at Tigoni,"Main, Tigoni, Limuru",0,0,"Furnished 4Bedrooms with 10beds, well curated G...",350000.0
4 Bed House with En Suite in Muthaiga,Muthaiga,0,0,Ambassadorial / Consul home To LET,340000.0
4 Bed House with En Suite in Tigoni,"Tigoni, Limuru",0,0,Country's side Cottage with Vast Compound,130000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Magnificent 5 Bedroom villas To LET,325000.0
5 Bed House with En Suite in Tigoni,"Tigoni, Limuru",0,0,Modern 5Br countryside Villa,150000.0
2 Bed House with En Suite in Tigoni,"Tigoni, Limuru",0,0,Staycation Airbnb for Short stays,15000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Spacious 4Br villas + Dsq To LET,250000.0
5 Bed Townhouse with En Suite in Karen,Karen,0,0,Elegant 5-Bedroom Standalone Home for Rent in K...,350000.0
4 Bed Townhouse with En Suite at Miotoni,"Miotoni, Karen",0,0,Exquisite 4Bedroom townhouse  for rent in Karen...,350000.0
4 Bed Townhouse with En Suite at Plains,"Plains, Karen",0,0,A 4 bedroom standalone house karen plains,350000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Magnificent 5Br To LET,450000.0
4 Bed House with En Suite in Garden Estate,"Garden Estate, Roysambu",0,0,Exquisite and Modern 4 Bedrooms To LET.,300000.0
5 Bed Villa with En Suite at Karen,Karen,0,0,5 bedroom+dsq to let in Karen,550000.0
3 Bed House with En Suite in Tigoni,"Tigoni, Limuru",0,0,Welcome to Rolling Hills + Rolling Hills Estate...,150000.0
5 Bed Townhouse with En Suite in Karen,Karen,0,0,5 bedroom  with sq to let in karen,550000.0
4 Bed House with En Suite at Runda Drive,"34, Runda Drive, Runda, Westlands",0,0,Elegant 4-Bedroom Bungalow for Rent in Runda –...,300000.0
5 Bed Villa with En Suite at Lavington,"02, Lavington",0,0,Executive 5 Bedroom Villa for Rent in Lavington,300000.0
5 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",0,0,Renovated  5br Main House Corner Unit To LET,150000.0
3 Bed House with En Suite in Tigoni,"Tigoni, Limuru",0,0,The Hill-Top Meadow country house to Let,200000.0
3 Bed House with En Suite in Redhill,Redhill,0,0,Town houses To LET,100000.0
4 Bed House with En Suite in Karura,"Karura, Westlands",0,0,Futuristic 4br +Dsq houses To LET,270000.0
3 Bed House with En Suite in Karura,"Karura, Westlands",0,0,Futuristic 3br +Dsq houses To LET,225000.0
4 Bed House with En Suite in Tigoni,"Tigoni, Limuru",0,0,Country's side Cottage with Vast Compound,200000.0
5 Bed House with En Suite at Lavington,"Lavington, Lavington",0,0,Beautiful five bedroom  house,350000.0
5 Bed Townhouse with En Suite at Lavington,Lavington,0,0,Modern 5 Bedroom Townhouse in Lavington to Let,500000.0
5 Bed House with En Suite at Karen,Karen,0,0,Elegant 5-Bedroom Standalone Home for Rent in K...,350000.0
5 Bed House with En Suite at Old Muthaiga,"Old Muthaiga, Muthaiga",0,0,5 bedroom house in Old Muthaiga,640000.0
4 Bed Townhouse with En Suite at Kileleshwa Estate Nairobi,"0324J, Kileleshwa Estate Nairobi, Kileleshwa",0,0,4 Bedrooms Triplex Townhouses in Kileleshwa Nai...,380000.0
4 Bed Villa with En Suite at Lavington,"Lavington, Lavington",0,0,Delightful Home! Lavington Four Bedroom Townhou...,350000.0
4 Bed House with En Suite in Muthaiga,Muthaiga,0,0,Exquisite newly 4 bedroom (All en-suite) house...,230000.0
4 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",0,0,Welcoming! Kitisuru Four Bedroom Family Home in...,350000.0
6 Bed House with En Suite at Kibagare,"Kibagare, Loresho, Westlands",0,0,Loresho kibagare 6brd all ensuited stand alone...,630000.0
3 Bed House with En Suite at Waiyaki Way,"Waiyaki Way, Kikuyu Town, Kikuyu",0,0,3 bedroom master ensuite house in sigona,50000.0
3 Bed House with En Suite at Near Signature Mall Sabaki Estate,"0324J, Near Signature Mall Sabaki Estate, Mombasa Road",0,0,"3  bedroom bungalow along Mombasa road, near Si...",35000.0
5 Bed House with En Suite in Kiambu Road,Kiambu Road,0,0,A Spacious Five Bedroom House To Let Ridgeways...,250000.0
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,0,0,AN AMAZING FOUR BEDROOM VILLA IN A GATED COMMUN...,330000.0
4 Bed House with En Suite at New Kitisuru,"New Kitisuru, Kitisuru, Westlands",0,0,Beautiful and Spacious 4 bedroom villa to let i...,400000.0
5 Bed Townhouse with En Suite at Mountain View Estate Nairoibi,"0324J, Mountain View Estate Nairoibi, Mountain View, Westlands",0,0,5 Bedrooms House in Mountain View Estate,140000.0
4 Bed Townhouse at Garden City,"Garden City, Thika Road",0,0,Exquisite 4 Bedroom Townhouse in Garden City,200000.0
5 Bed House with En Suite at Kyuna Road,"34, Kyuna Road, Kyuna, Westlands",0,0,RentalsHousesNewly Built 5-Bedroom Rental In Lo...,500000.0
5 Bed House with En Suite in Loresho,"Loresho, Westlands",0,0,RentalsHousesNewly Built 5-Bedroom Rental In Lo...,550000.0
3 Bed Townhouse with En Suite at Thome,"Thome, Roysambu",0,0,3bedroom,150000.0
5 Bed Townhouse with Staff Quarters at Royal Homes,"89, Royal Homes, Lavington",0,0,Lavington 5 Bedroom Townhouse to Rent in Laving...,180000.0
5 Bed Townhouse with En Suite at Convent Drive,"89, Convent Drive, Lavington",0,0,Lavington 4 townhouse with sq for rent in Lavin...,175000.0
4 Bed Villa in Windsor,"Windsor, Roysambu",0,0,Luxury 4 Bedroom for Rent at Windsor,481000.0
4 Bed House with En Suite at Karen,"01, Karen, Karen",0,0,Executive 4 Bedroom House All Bedroom En-suite...,400000.0
6 Bed Villa with En Suite at Off Loresho Ridge,"Off Loresho Ridge, Loresho, Westlands",0,0,Newly built 5 & 6 bedroom luxury houses( in a g...,650000.0
5 Bed House with En Suite at Off Kitisuru Rd,"Off Kitisuru Rd, Kitisuru, Westlands",0,0,Beautiful 5 bedroom house for rent in old Kitis...,550000.0
2 Bed House with En Suite at Runda,"Runda, Westlands",0,0,2 bedroom fully furnished with mature garden,230000.0
5 Bed Townhouse with En Suite at Chalbi Drive,"44, Chalbi Drive, Lavington",0,0,Lavington in a well secured gated community thi...,350000.0
4 Bed Townhouse in Kiambu Town,Kiambu Town,0,0,Exquisite 4 Bedroom Townhouse for Rent,105000.0
6 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Magnificent Newly Built Villas with Swimming Po...,550000.0
4 Bed Townhouse with Staff Quarters in Westlands Area,"Westlands Area, Westlands",0,0,4bedroom town house for rent in Westlands,270000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",0,0,Newly built 4-Bedroom All En-Suite New Build on...,640000.0
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,Spacious 5-Bedroom House for Rent in Spring Val...,350000.0
4 Bed House with En Suite at Loresho,"Loresho, Westlands",0,0,Rustic 4 Bedroom Bungalow plus 1 bed Guestwing,350000.0
4 Bed House with En Suite in Ridgeways,Ridgeways,0,0,Amazing Villas on 0.25 acres To LET,325000.0
5 Bed Townhouse with En Suite at Mugumo Road,"67, Mugumo Road, Lavington",0,0,Lavington in a well secured gated community thi...,450000.0
5 Bed House with En Suite at Kigwa,"Kigwa, Ridgeways",0,0,"5br House, Ridgeways",550000.0
4 Bed Townhouse with En Suite at Garden Estate,"Garden Estate, Ridgeways",0,0,"4br Townhouse, Ridgeways",300000.0
4 Bed Townhouse with Swimming Pool at Ridgeways,Ridgeways,0,0,"4br Townhouse, Ridgeways",327000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",0,0,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN RU...,420000.0
5 Bed Townhouse with En Suite at Kabarsiran Road,"Kabarsiran Road, Lavington",0,0,Fully furnished 5 bedroom townhouse all ensuite...,400000.0
5 Bed Townhouse with En Suite at Lavington,"44, Lavington",0,0,Modern five bedrooms,400000.0
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,4 Bedroom Townhouse in Kitisuru,200000.0
5 Bed Townhouse with Swimming Pool at Off James Gichuru,"Off James Gichuru, Lavington",0,0,Bright and modern 5 bedroom townhouse for rent...,400000.0
4 Bed Townhouse with En Suite at Garden Estate,"Garden Estate, Roysambu",0,0,Four Bedroom Plus Dsq Townhouse to let at Garde...,295000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxurious 4-Bedroom Ensuite House for Rent in R...,500000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxurious 5-Bedroom Ensuite House for Rent in R...,580000.0
6 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxurious 6-Bedroom Ensuite House for Rent in R...,450000.0
4 Bed Townhouse with En Suite in Kamakis,"Kamakis, Ruiru",0,0,4 bedroom  with sq,100000.0
5 Bed House with En Suite in Loresho,"Loresho, Westlands",0,0,🌟 Ambassadorial 5-Bedroom Standalone Home for...,520000.0
6 Bed House with En Suite at Rosslyn,"Rosslyn, Westlands",0,0,🌟 EXTRAORDINARY 6-BEDROOM DREAM HOME FOR RENT...,850000.0
5 Bed House with En Suite at Nyari,"Nyari, Westlands",0,0,🌟 THE WORLD'S MOST EXCLUSIVE 6-BEDROOM STANDAL...,1500000.0
4 Bed House with En Suite at Karen,"01, Karen, Karen",0,0,Executive 4 Bedroom House All Bedroom En-suite...,400000.0
4 Bed Townhouse with En Suite at Karen,Karen,0,0,Modern 4- Bedrooms Villa with DSQ for Rent in K...,550000.0
5 Bed Townhouse with En Suite at Runda,"Runda, Westlands",0,0,Luxurious 5-Bedroom Ensuite House for Rent in R...,580000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Sophisticated 5-Bedroom Family Home with DSQ to...,450000.0
6 Bed House with En Suite at Runda,"Runda, Westlands",0,0,Exquisite 6-Bedroom Luxury Residence with DSQ t...,450000.0
6 Bed House with En Suite at Runda,"Runda, Westlands",0,0,Luxurious 6-Bedroom Ensuite House for Rent in R...,450000.0
4 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",0,0,Stunning secure 4 bedrooms townhouse plus priva...,250000.0
5 Bed House with En Suite at Runda,"Runda, Westlands",0,0,Exquisite 5-Bedroom Family Sanctuary in Prestig...,580000.0
5 Bed House with En Suite at Nyari,"Nyari, Westlands",0,0,Your Perfect 5 Bedroom Family Home Awaits at Ny...,400000.0
6 Bed House with En Suite at Old Kitisuru,"Old Kitisuru, Kitisuru, Westlands",0,0,Unparalleled Luxury Awaits You – A Dream Home i...,1000000.0
4 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,Luxurious Living – Four-Bedroom House for Rent...,300000.0
4 Bed Townhouse with En Suite at Karen,Karen,0,0,A 4 bedrooms townhouse with 2 SQs for rent,380000.0
5 Bed Villa with En Suite in Karen,Karen,0,0,5 bedroom fully Furnished Villa available to le...,693602.0
2 Bed House with En Suite in Karen,Karen,0,0,2 Bedroom Bungalow in a gated community To Let,120000.0
4 Bed Villa with En Suite in Karen,Karen,0,0,4 Bedroom Villa To Let in Karen,430000.0
4 Bed Townhouse with En Suite at Convent Drive,"031, Convent Drive, Lavington",0,0,4-Bedrooms plus sq FOR RENT,260000.0
4 Bed House with En Suite in Runda,"Runda Nairobi, Runda, Westlands",0,0,A 4bdrm family house to let in runda.,270000.0
4 Bed Townhouse with En Suite in Karen,"Karen Nairobi, Karen",0,0,Brand new 4bdrm townhouse to let in Karen.,550000.0
5 Bed Townhouse with En Suite at Lower Kabete,"Lower Kabete, Westlands",0,0,"🌟 Experience the Perfect Fusion of Comfort, Lu...",770000.0
5 Bed House with En Suite at Nyari,"Nyari, Westlands",0,0,🌟 Luxury 5-Bedroom Ambassadorial Home with Swi...,500000.0
4 Bed House with En Suite at Lower Kabete,"Lower Kabete, Westlands",0,0,🌟 REMARKABLE 4-BEDROOM VILLA FOR SALE/RENT IN...,450000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,BEAUTIFUL 4 BEDROOM VILLA WITH DSQ TO LET IN RU...,580000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,🏡 Luxurious 5-Bedroom Townhouse + DSQ to Let i...,350000.0
5 Bed House with En Suite at Nyari,"Nyari, Westlands",0,0,🌟 EXCLUSIVE 5-BEDROOM MASTERPIECE FOR RENT IN...,300000.0
4 Bed House with En Suite in Gigiri,"Gigiri, Westlands",0,0,"Prestigious Gigiri Estate, this one-of-a-kind 5...",600000.0
6 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,Exquisite 6-bedroom stand-alone house for rent...,1300000.0
6 Bed House with En Suite at Old Muthaiga,"Old Muthaiga, Muthaiga",0,0,🏰 Experience Unmatched Elegance and Tranquilit...,1200000.0
4 Bed House with En Suite at Old Muthaiga,"Old Muthaiga, Muthaiga",0,0,🏡 Exclusive 4-Bedroom Bungalow to Let – The Ul...,500000.0
4 Bed Villa with En Suite in Riverside,"Riverside, Westlands",0,0,𝗦𝗽𝗮𝗰𝗶𝗼𝘂𝘀 𝟰-𝗕𝗲𝗱𝗿𝗼𝗼𝗺 𝗩𝗶𝗹𝗹𝗮 + 𝗗𝗦𝗤,250000.0
6 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,🌟 Prestigious 6-Bedroom Ambassadorial Home to...,1500000.0
4 Bed Townhouse with Staff Quarters in Kiambu Road,Kiambu Road,0,0,Newly built 4 Bedroom House available for rent,325000.0
4 Bed House with En Suite in Karen,Karen,0,0,4 Bedroom house to Let in Karen.,430000.0
2 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",0,0,2 bedroom furnished garden apartment for rent i...,315000.0
5 Bed House with En Suite at Red Hill,"Red Hill, Nyari, Westlands",0,0,Nyari Estate 5 bedroom Ambassadorial Mansion Wi...,500000.0
3 Bed Townhouse with En Suite at Off Glory Rd,"4, Off Glory Rd, Runda, Westlands",0,0,A Stunning 3 Bedrooms Townhouse for rent in Run...,325000.0
4 Bed Townhouse with En Suite at Ridgeways,"2, Ridgeways",0,0,Modern 4 Bedroom villa for rent in Ridgeways.,300000.0
4 Bed House with En Suite at Nyari,"4, Nyari, Westlands",0,0,A Charming 4 Bedrooms double storied house for...,400000.0
4 Bed Townhouse with En Suite at Off Ruaka Road,"8, Off Ruaka Road, Runda, Westlands",0,0,A Luxurious 4 Bedrooms Fully furnished Town hou...,270000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Experience Luxury and Serenity in This Magnific...,270000.0
5 Bed House in Karen,Karen,0,0,Luxury Living in Karen – 5-Bedroom Standalone H...,350000.0
4 Bed House with Garden in Karen,Karen,0,0,Charming garden cottage in Karen - A hidden gem...,450000.0
5 Bed Villa with En Suite in Karen,Karen,0,0,Modern 4- Bedrooms Villa with DSQ for Rent in K...,550000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Discover Your Dream Home in Runda -  Exemptiona...,300000.0
3 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Cosy 3 Bedroom House For Rent In Runda,340000.0
5 Bed Townhouse with En Suite at Miotoni,"Miotoni, Karen",0,0,Excellent 5 bedroom townhouse all ensuite with...,350000.0
4 Bed Townhouse with En Suite in Karen,Karen,0,0,🏡✨ 4-Bedroom All Ensuite House for Rent in Ka...,370000.0
4 Bed House with En Suite in Karen,Karen,0,0,4 Bedroom Villa To Let in Karen,400000.0
4 Bed Villa with En Suite in Karen,Karen,0,0,Lovely Four Bedroom villa  To let in Karen,350000.0
