Title,Location,No of Bedrooms,No of Bathrooms,Description,Price
4 Bed Townhouse with En Suite in Lavington,Lavington,0,0,Modern 4 bedrooms all Ensuite townhouse located...,350000.0
5 Bed Townhouse with Staff Quarters in Lavington,Lavington,0,0,Lavington  a modern 5 bedrooms plus dsq all ens...,450000.0
5 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",0,0,Rio villas.,450000.0
4 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,An elegant House to let,400000.0
2 Bed House with En Suite at Glory Road,"Glory Road, Runda, Westlands",0,0,"Furnished 2 Bedrooms House in Runda Westlands,...",195000.0
6 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",0,0,New modern home with a swimming pool,600000.0
3 Bed House in Langata,Langata,0,0,3 bedroom maisonette in Langata,50000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",0,0,Excellent 4 bedroom house all ensuite with 2bed...,350000.0
4 Bed Townhouse with En Suite at Kileleshwa,"20 Kileleshwa, Kileleshwa",0,0,Kileleshwa 4 bedroom townhouse to let,250000.0
5 Bed Townhouse with En Suite at Lavington,"21 Lavington, Lavington",0,0,Lavington 5 bedroom townhouse to let,180000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",0,0,A FOUR BEDROOMS WITH AN DSQ IN RUNDA FOR RENTAL,300000.0
4 Bed Townhouse with En Suite at Karen,Karen,0,0,4 bedroom plus DSQ,300000.0
5 Bed House with En Suite at Runda,"Runda, Westlands",0,0,"House for sale in Runda, 5 bedroom",80000000.0
5 Bed Townhouse with En Suite at Kileleshwa,"Kileleshwa, Kileleshwa",0,0,"House to rent in Kileleshwa, 5 bedrooms",220000.0
5 Bed Villa with En Suite at Runda,"Runda, Westlands",0,0,"House to rent in Runda, 5 bedroom all ensuite",550000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",0,0,"House to rent in Runda, 4 bedroom fully furnish...",4000.0
3 Bed House with En Suite at Old Runda,"Old Runda, Runda, Westlands",0,0,"House to rent in runda, 3 bedrooms",150000.0
8 Bed Villa with En Suite at Runda,"Runda, Westlands",0,0,"House for rent in Runda, 8 bedrooms Furnished",600000.0
4 Bed House in Karen,Karen,0,0,Luxury 4-Bedroom All Ensuite House for Rent in...,370000.0
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Comfy and Elegant Four-Bedroom Villa for Rent i...,500000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,0,0,4-Bedroom Corner Home for Rent in Lavington– Ks...,350000.0
4 Bed House with En Suite in Loresho,"Loresho, Westlands",0,0,Charming 4-Bedroom Cottage for Rent in Loresho,290000.0
5 Bed Townhouse with En Suite at General Mathenge,"General Mathenge, Westlands",0,0,5-Bedroom All En-suite Home in a Gated Communit...,325000.0
4 Bed Townhouse with En Suite at Kyuna,"Kyuna, Westlands Area, Westlands",0,0,An exclusive 4 bedrooms Townhouse,275000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Charming 5-Bedroom House for Rent in Kitisuru,350000.0
2 Bed Townhouse with En Suite in Runda,"Runda, Westlands",0,0,A 2 bedroom  cottage  to let in Runda,195000.0
3 Bed House with En Suite at Bonds Garden,"Bonds Garden, Upper Hill",0,0,3 Bedroom Mansionette,130000.0
5 Bed Villa with Staff Quarters in Lavington,Lavington,0,0,🏡 Exquisite 5 Bedroom Villa for rent in Laving...,250000.0
3 Bed House with En Suite at Milimani,"Olive Shadows Gardens, Milimani, Kitengela",0,0,3 Bedroom bangalow Own compound in Kitengela,35000.0
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",0,0,Luxurious Five-Bedroom House for Rent in Lower...,450000.0
5 Bed House with En Suite at Lavington Mall,"Lavington Mall, Lavington",0,0,Modern 5 Bedroom Townhouse for Rent  in lavingt...,300000.0
4 Bed Townhouse with Swimming Pool in Kiambu Road,Kiambu Road,0,0,4 Bedroom House for rent along Kiambu Road.,230000.0
4 Bed House with En Suite at Near Ga,"Near Ga, Karen",0,0,4 Bedroom All Ensuite Villa for Rent in Karen,350000.0
4 Bed Townhouse with Swimming Pool at Ridgeways,Ridgeways,0,0,4 Bedroom House available for rent,325000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant 4 Bedroom All Ensuite House + 2 Room DS...,340000.0
4 Bed House with En Suite at Near Karen Hospital,"Near Karen Hospital, Karen",0,0,Modern Luxurious 4 Bedrooms  Plus DSQ House To...,550000.0
4 Bed House with Garden at Ruaka Town,"Ruaka Town, Ruaka",0,0,4 Bedrooms   House To Let In Ruaka,150000.0
3 Bed House with Staff Quarters in Kilimani,Kilimani,0,0,🏡 3-Bedroom Maisonette plus DSQ to let in Kili...,100000.0
5 Bed Townhouse with Gym in Lavington,Lavington,0,0,5 Bedroom Town House for Rent,350000.0
3 Bed House with En Suite at Limuru Road,"0403N, Limuru Road, Muthaiga",0,0,3-bedroom house in old muthaiga,350000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,5 Bedroom Town House,300000.0
4 Bed Townhouse with Garden in Lavington,Lavington,0,0,4 Bedroom Town House for Rent,350000.0
5 Bed Townhouse with Staff Quarters in Lavington,Lavington,0,0,5 Bedroom Town House for Rent,300000.0
6 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",0,0,An exclusive 4 bedrooms townhouse,650000.0
5 Bed House with En Suite at New Kitisuru,"New Kitisuru, Kitisuru, Westlands",0,0,Welcoming! Kitisuru brand new Five Bedroom Fami...,380000.0
2 Bed House with En Suite in Runda,"Runda, Westlands",0,0,2 bedroom house for rent in Runda,120000.0
5 Bed House with Staff Quarters at Mountain View Estate,"0403N, Mountain View Estate, Mountain View, Westlands",0,0,5-bedroom apartment in mountain view,140000.0
4 Bed House with En Suite in Ridgeways,Ridgeways,0,0,Impressive 4-bedroom Townhouse for Rent in Gard...,280000.0
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,0,0,Modern 4 Bedroom Townhouse for rent in Ridgeway...,350000.0
4 Bed Townhouse with En Suite at Fourways,"Fourways, Kiambu Road",0,0,Well Built and Maintained 4 Bedroom Townhouse f...,180000.0
5 Bed House with En Suite at Runda,"Runda, Runda, Westlands",0,0,Charming 5 Bedroom Family Home in a Gated commu...,500000.0
3 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,VIBRANT MODERN LOOK! BRAND NEW HOUSES TO LET IN...,200000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,Fully Furnished 4 Bedroom Townhouse for rent in...,250000.0
5 Bed House with En Suite at Mushroom Gardens,"Mushroom Gardens, Kiambu Road",0,0,Beautiful Five Bedroom House for rent in a Gate...,300000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,A four bedroom furnished house for rent in a ga...,250000.0
4 Bed House with En Suite at Njathaini,"Njathaini, Kiambu Road",0,0,Modern New 4 Bedroom House for rent in a Gated...,300000.0
5 Bed House with En Suite at Kitisuru,"Kitisuru, Kitisuru, Westlands",0,0,ULTIMATE PRIVACY! KITISURU 5 BEDROOM VILLA IN A...,500000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,Serene 4 Bedroom Townhouse For Sale in Kiambu R...,270000.0
4 Bed Townhouse with En Suite at Lavington,Lavington,0,0,4 bedroom plus DSQ,300000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,Elegant Four Bedroom House for Rent in a Gated...,250000.0
4 Bed Townhouse with En Suite at Brookside,"0403N, Brookside, Westlands",0,0,4-bedroom townhouse in brookside,270000.0
4 Bed House with En Suite in Kiambu Road,Kiambu Road,0,0,Amazing Views 4 Bedroom Semi-Detached House for...,200000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,Modernly built 4 bedroom home is available for...,330000.0
5 Bed House with En Suite in Kiambu Road,Kiambu Road,0,0,Exquisite 5-bedroom villa nestled in the presti...,325000.0
3 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,Exclusive Fully Furnished 3 bedroom Mediterrane...,260000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,These exclusive 3 and 4 bedroom Mediterranean s...,220000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Charming Five Bedroom Townhouse with DSQ for Re...,300000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,This townhouse is a residence that exudes comfo...,150000.0
5 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,This townhouse is a residence that exudes comfo...,180000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,Secure neighborhood and clean estate offering g...,180000.0
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Elegant 4-Bedroom House for Rent in Kitisuru,260000.0
4 Bed House with En Suite at Westland,"Westland, Loresho, Westlands",0,0,4-Bedroom Bungalow on Loresho,250000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,5 bedroom house for rent in Runda,320000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",0,0,4-Bedroom All En-Suite Home for Rent in Old Run...,351000.0
1 Bed House with En Suite in Loresho,"Loresho, Westlands",0,0,Cozy One-Bedroom House for Rent in Loresho,90000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",0,0,4 bedroom townhouse to rent in runda,350000.0
3 Bed House with En Suite at Kimunyu,"Kimunyu, Kenyatta Road",0,0,Beautiful 3 bedrooms bungalow available toblet...,35000.0
4 Bed House with En Suite at Near Croton Ridge Estate,"Near Croton Ridge Estate, Kenyatta Road",0,0,Beautiful 4 bedrooms bungalow available to let...,65000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Spacious Four-Bedroom House with Outdoor Gazebo...,340000.0
3 Bed House with En Suite at Acacia Estate,"Acacia Estate, Kitengela",0,0,3 BEDROOM BUNGALOW ENSUITE PLUS DSQ FOR RENT IN...,40000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,House for rent in Runda,350000.0
5 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",0,0,Elegant Five-Bedroom Townhouse in Kyuna,350000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",0,0,Standalone 4-Bedroom Home for Rent in Runda – K...,300000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Spacious 4 bedroom house for rent in Runda,300000.0
4 Bed House with Staff Quarters at Runda,"Runda, Westlands",0,0,Charming Standalone 4 Bedroom Bungalow for Rent...,300000.0
3 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,Elegant Three-Bedroom Home for Rent in Nyari,300000.0
3 Bed House with En Suite at Birthday Road,"Birthday Road, Tigoni, Limuru",0,0,Stunning Rustic 3-Bedroom Home with Spacious Ga...,160000.0
3 Bed House with En Suite at Tigoni,"Tigoni, Limuru",0,0,"3br Bungalow, Tigoni",250000.0
4 Bed Townhouse with En Suite at Garden Estate,"Garden Estate, Ridgeways",0,0,"4br Townhouse, Ridgeways",300000.0
3 Bed Townhouse with Swimming Pool at Ineza,"Ineza, Runda, Westlands",0,0,"3br Townhouse, Runda",215000.0
5 Bed Townhouse with En Suite at Runda,"Runda, Westlands",0,0,Executive 5 bedroom+dsq to let in Runda,550000.0
5 Bed Townhouse with En Suite at Lavington,Lavington,0,0,Spacious 5 bedroom+dsq to let in lavington,300000.0
5 Bed House with En Suite in Loresho,"Loresho, Westlands",0,0,LUXURIOUS 5&6 BEDROOMS MANSIONS IN A GATED COMM...,550000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,A LUXURIOUS FIVE BEDROOM MANSION IN RUNDA,500000.0
4 Bed Townhouse with Staff Quarters at Garden Estate,"Garden Estate, Roysambu",0,0,4 Bedroom townhouse for rent in Garden Estate,290000.0
